fid,LATITUD,LONGITUD,PROGRESIVA,Z
"205",-34.5592680458237,-58.6006026911891,4103.26,16.11
"206",-34.5593145759451,-58.6003908376239,4123.38,14.24
"207",-34.5593611056885,-58.6001789838764,4143.49,12.16
"208",-34.559407635054,-58.5999671299466,4163.6,12.9
"209",-34.5594541640415,-58.5997552758347,4183.72,10.93
"210",-34.559500692651,-58.5995434215405,4203.83,12.99
"211",-34.5595472208825,-58.5993315670642,4223.95,10.34
"212",-34.5595937487361,-58.5991197124056,4244.06,15.33
"213",-34.5596402762116,-58.5989078575648,4264.17,14.38
"214",-34.5596868033092,-58.5986960025418,4284.29,15.87
"215",-34.5597333300288,-58.5984841473367,4304.4,12.54
"216",-34.5597798563704,-58.5982722919493,4324.52,14.94
"217",-34.559826382334,-58.5980604363798,4344.63,13.67
"218",-34.5598729079196,-58.5978485806281,4364.74,10.71
"219",-34.5599194331272,-58.5976367246942,4384.86,14.15
"220",-34.5599659579568,-58.5974248685782,4404.97,13.59
"221",-34.5600124824084,-58.59721301228,4425.09,15.68
"222",-34.560059006482,-58.5970011557997,4445.2,13.56
"223",-34.5601055301776,-58.5967892991372,4465.31,18.81
"224",-34.5601520534952,-58.5965774422926,4485.43,15.17
"225",-34.5601985764348,-58.5963655852658,4505.54,12.66
"226",-34.5602450989964,-58.5961537280569,4525.66,12.03
"227",-34.56029162118,-58.5959418706659,4545.77,14.5
"228",-34.5603381429855,-58.5957300130928,4565.88,18.96
"229",-34.5603846644131,-58.5955181553375,4586,16.11
"230",-34.5604311854626,-58.5953062974002,4606.11,16.24
"231",-34.5604777061341,-58.5950944392808,4626.23,19.75
"232",-34.5605242264276,-58.5948825809792,4646.34,17.61
"233",-34.5605707463431,-58.5946707224956,4666.45,18.58
"234",-34.5606172658806,-58.5944588638299,4686.57,20.54
"235",-34.56066378504,-58.5942470049821,4706.68,20.39
"236",-34.5607103038215,-58.5940351459522,4726.8,22.61
"237",-34.5607568222249,-58.5938232867403,4746.91,18.08
"238",-34.5608033402502,-58.5936114273463,4767.02,19.62
"239",-34.5608498578976,-58.5933995677702,4787.14,21.59
"240",-34.5608963751669,-58.5931877080121,4807.25,19.76
"241",-34.5609428920581,-58.5929758480719,4827.37,15.87
"242",-34.5609894085714,-58.5927639879498,4847.48,23.09
"243",-34.5610359247066,-58.5925521276455,4867.59,22.17
"244",-34.5610824404637,-58.5923402671593,4887.71,18.62
"245",-34.5611289558429,-58.592128406491,4907.82,21.25
"246",-34.5611754708439,-58.5919165456407,4927.94,21.81
"247",-34.561221985467,-58.5917046846084,4948.05,16.96
"248",-34.561268499712,-58.5914928233941,4968.16,14.63
"249",-34.5613150135789,-58.5912809619977,4988.28,17.78
"250",-34.5613615270678,-58.5910691004194,5008.39,15.72
"251",-34.5614080401787,-58.5908572386591,5028.51,21.93
"252",-34.5614545529115,-58.5906453767168,5048.62,18.43
"253",-34.5615010652662,-58.5904335145926,5068.73,24.14
"254",-34.5615475772429,-58.5902216522863,5088.85,23.97
"255",-34.5615940888416,-58.5900097897981,5108.96,23.42
"256",-34.5616406000621,-58.589797927128,5129.08,20.8
"257",-34.5616871109047,-58.5895860642758,5149.19,21.98
"258",-34.5617336213691,-58.5893742012418,5169.3,16.56
"259",-34.5617801314555,-58.5891623380257,5189.42,16.09
"260",-34.5618266411638,-58.5889504746278,5209.53,16.53
"261",-34.5618731504941,-58.5887386110479,5229.65,15.23
"262",-34.5619196594463,-58.588526747286,5249.76,14.84
"263",-34.5619661680204,-58.5883148833423,5269.87,15.07
"264",-34.5620126762165,-58.5881030192166,5289.99,15.04
"265",-34.5620591840345,-58.5878911549091,5310.1,14.65
"266",-34.5621056914744,-58.5876792904196,5330.22,14.31
"267",-34.5621521985362,-58.5874674257482,5350.33,14.27
"268",-34.5621987052199,-58.5872555608949,5370.44,14.16
"269",-34.5622452115256,-58.5870436958597,5390.56,13.99
"270",-34.5622917174532,-58.5868318306427,5410.67,13.58
"271",-34.5623382230027,-58.5866199652437,5430.79,14.07
"272",-34.5623847281741,-58.5864080996629,5450.9,13.92
"273",-34.5624312329675,-58.5861962339003,5471.01,13.52
"274",-34.5624777373827,-58.5859843679557,5491.13,13.06
"275",-34.5625242414199,-58.5857725018293,5511.24,12.81
"276",-34.562570745079,-58.5855606355211,5531.36,12.75
"277",-34.5626172483599,-58.585348769031,5551.47,12.39
"278",-34.5626637512628,-58.5851369023591,5571.59,11.8
"279",-34.5627102537876,-58.5849250355053,5591.7,11.47
"280",-34.5627567559343,-58.5847131684697,5611.81,11.21
"281",-34.5628032577028,-58.5845013012523,5631.93,11.09
"282",-34.5628497590933,-58.5842894338531,5652.04,10.75
"283",-34.5628962601057,-58.584077566272,5672.16,10.44
"284",-34.56294276074,-58.5838656985092,5692.27,13.02
"285",-34.5629892609962,-58.5836538305645,5712.38,12.54
"286",-34.5630357608742,-58.5834419624381,5732.5,12.19
"287",-34.5630822603742,-58.5832300941298,5752.61,10.14
"288",-34.563128759496,-58.5830182256398,5772.73,11.03
"289",-34.5631752582397,-58.582806356968,5792.84,10.38
"290",-34.5632217566053,-58.5825944881144,5812.95,10.91
"291",-34.5632682545928,-58.5823826190791,5833.07,10.83
"292",-34.5633147522022,-58.582170749862,5853.18,10.52
"293",-34.5633612494334,-58.5819588804631,5873.3,10.53
"294",-34.5634077462866,-58.5817470108825,5893.41,11.92
"295",-34.5634542427616,-58.5815351411202,5913.52,11.32
"296",-34.5635007388585,-58.5813232711761,5933.64,11.2
"297",-34.5635472345772,-58.5811114010503,5953.75,11.3
"298",-34.5635937299178,-58.5808995307427,5973.87,14.17
"299",-34.5636402248803,-58.5806876602534,5993.98,17.45
"300",-34.5636867194647,-58.5804757895824,6014.09,18.89
"301",-34.5637332136709,-58.5802639187297,6034.21,22.38
"302",-34.563779707499,-58.5800520476953,6054.32,22.43
"303",-34.563826200949,-58.5798401764792,6074.44,16.67
"304",-34.5638726940208,-58.5796283050814,6094.55,20.87
"305",-34.5639191867145,-58.5794164335019,6114.66,17.43
"306",-34.56396567903,-58.5792045617407,6134.78,17.13
"307",-34.5640121709674,-58.5789926897978,6154.89,19.12
"308",-34.5640586625267,-58.5787808176733,6175.01,21.27
"309",-34.5641051537078,-58.5785689453671,6195.12,20.19
"310",-34.5641516445107,-58.5783570728792,6215.23,20.16
"311",-34.5641981349355,-58.5781452002097,6235.35,12.82
"312",-34.5642446249822,-58.5779333273585,6255.46,14.16
"313",-34.5642911146507,-58.5777214543257,6275.58,14.14
"314",-34.564337603941,-58.5775095811112,6295.69,22.15
"315",-34.5643840928532,-58.5772977077151,6315.8,12.29
"316",-34.5644305813872,-58.5770858341374,6335.92,12.67
"317",-34.5644770695431,-58.5768739603781,6356.03,12.57
"318",-34.5645235573208,-58.5766620864371,6376.15,14.62
"319",-34.5645700447204,-58.5764502123145,6396.26,16.43
"320",-34.5646165317417,-58.5762383380103,6416.37,16.69
"321",-34.5646630183849,-58.5760264635246,6436.49,14.59
"322",-34.56470950465,-58.5758145888572,6456.6,14.46
"323",-34.5647559905369,-58.5756027140082,6476.72,14.19
"324",-34.5648024760455,-58.5753908389777,6496.83,14.01
"325",-34.5648489611761,-58.5751789637655,6516.94,12.19
"326",-34.5648954459284,-58.5749670883718,6537.06,13.68
"327",-34.5649419303026,-58.5747552127966,6557.17,11.2
"328",-34.5649884142986,-58.5745433370397,6577.29,15.25
"329",-34.5650348979164,-58.5743314611014,6597.4,12.32
"330",-34.565081381156,-58.5741195849814,6617.51,14.44
"331",-34.5651278640175,-58.5739077086799,6637.63,14.35
"332",-34.5651743465007,-58.5736958321969,6657.74,16.14
"333",-34.5652208286058,-58.5734839555324,6677.86,11.18
"334",-34.5652673103327,-58.5732720786863,6697.97,15.52
"335",-34.5653137916814,-58.5730602016587,6718.08,11.89
"336",-34.5653602726519,-58.5728483244496,6738.2,13.71
"337",-34.5654067532442,-58.5726364470589,6758.31,14.96
